No.;Fecha inicial corte;Fecha final corte;Departamento;Municipio;Comunidad (Si aplica);Clasificacion;Tema;Subtema;Tipo de dato (medida);No. De personas/porcentaje/eventos;No. De mujeres mayores de edad;No. De hombres mayores de edad;No. De mujeres menores de edad;No. De hombres menores de edad;Madres gestantes;Grupo etnico;Si es indigena indique pueblo;Texto descriptivo;Link informacion;Link Registro fotografico;Observacion
11;6/03/20;29/08/21;AMAZONAS;TARAPACA (CD);No indica;Analisis situacional;COVID 19;Contagio;Numero;72;39;22;7;4;No indica;No indica;No indica;En el municipio de TARAPACA (CD) se tiene un total de Contagio 72;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
12;6/03/20;29/08/21;ANTIOQUIA;ABEJORRAL;No indica;Analisis situacional;COVID 19;Contagio;Numero;522;280;217;14;11;No indica;No indica;No indica;En el municipio de ABEJORRAL se tiene un total de Contagio 522;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
13;6/03/20;29/08/21;ANTIOQUIA;ABRIAQUI;No indica;Analisis situacional;COVID 19;Contagio;Numero;72;26;44;1;1;No indica;No indica;No indica;En el municipio de ABRIAQUI se tiene un total de Contagio 72;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
14;6/03/20;29/08/21;ANTIOQUIA;ALEJANDRIA;No indica;Analisis situacional;COVID 19;Contagio;Numero;158;89;62;0;7;No indica;No indica;No indica;En el municipio de ALEJANDRIA se tiene un total de Contagio 158;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
15;6/03/20;29/08/21;ANTIOQUIA;AMAGA;No indica;Analisis situacional;COVID 19;Contagio;Numero;1264;547;669;25;23;No indica;No indica;No indica;En el municipio de AMAGA se tiene un total de Contagio 1264;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
16;6/03/20;29/08/21;ANTIOQUIA;AMALFI;No indica;Analisis situacional;COVID 19;Contagio;Numero;752;383;324;26;19;No indica;No indica;No indica;En el municipio de AMALFI se tiene un total de Contagio 752;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
17;6/03/20;29/08/21;ANTIOQUIA;ANDES;No indica;Analisis situacional;COVID 19;Contagio;Numero;1174;566;572;23;13;No indica;No indica;No indica;En el municipio de ANDES se tiene un total de Contagio 1174;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
18;6/03/20;29/08/21;ANTIOQUIA;ANGELOPOLIS;No indica;Analisis situacional;COVID 19;Contagio;Numero;110;57;48;2;3;No indica;No indica;No indica;En el municipio de ANGELOPOLIS se tiene un total de Contagio 110;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
19;6/03/20;29/08/21;ANTIOQUIA;ANGOSTURA;No indica;Analisis situacional;COVID 19;Contagio;Numero;161;63;80;10;8;No indica;No indica;No indica;En el municipio de ANGOSTURA se tiene un total de Contagio 161;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
20;6/03/20;29/08/21;ANTIOQUIA;ANORI;No indica;Analisis situacional;COVID 19;Contagio;Numero;260;120;129;5;6;No indica;No indica;No indica;En el municipio de ANORI se tiene un total de Contagio 260;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
21;6/03/20;29/08/21;ANTIOQUIA;ANZA;No indica;Analisis situacional;COVID 19;Contagio;Numero;257;116;125;9;7;No indica;No indica;No indica;En el municipio de ANZA se tiene un total de Contagio 257;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
22;6/03/20;29/08/21;ANTIOQUIA;APARTADO;No indica;Analisis situacional;COVID 19;Contagio;Numero;12190;5406;5876;454;454;No indica;No indica;No indica;En el municipio de APARTADO se tiene un total de Contagio 12190;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
23;6/03/20;29/08/21;ANTIOQUIA;ARBOLETES;No indica;Analisis situacional;COVID 19;Contagio;Numero;1100;516;469;61;54;No indica;No indica;No indica;En el municipio de ARBOLETES se tiene un total de Contagio 1100;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
24;6/03/20;29/08/21;ANTIOQUIA;ARGELIA;No indica;Analisis situacional;COVID 19;Contagio;Numero;140;68;64;3;5;No indica;No indica;No indica;En el municipio de ARGELIA se tiene un total de Contagio 140;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
25;6/03/20;29/08/21;ANTIOQUIA;ARMENIA;No indica;Analisis situacional;COVID 19;Contagio;Numero;78;41;36;0;1;No indica;No indica;No indica;En el municipio de ARMENIA se tiene un total de Contagio 78;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
26;6/03/20;29/08/21;ANTIOQUIA;BARBOSA;No indica;Analisis situacional;COVID 19;Contagio;Numero;2708;1321;1211;101;75;No indica;No indica;No indica;En el municipio de BARBOSA se tiene un total de Contagio 2708;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
27;6/03/20;29/08/21;ANTIOQUIA;BELLO;No indica;Analisis situacional;COVID 19;Contagio;Numero;61135;30880;25446;2460;2349;No indica;No indica;No indica;En el municipio de BELLO se tiene un total de Contagio 61135;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
28;6/03/20;29/08/21;ANTIOQUIA;BELMIRA;No indica;Analisis situacional;COVID 19;Contagio;Numero;136;57;59;13;7;No indica;No indica;No indica;En el municipio de BELMIRA se tiene un total de Contagio 136;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
29;6/03/20;29/08/21;ANTIOQUIA;BETANIA;No indica;Analisis situacional;COVID 19;Contagio;Numero;233;133;87;2;11;No indica;No indica;No indica;En el municipio de BETANIA se tiene un total de Contagio 233;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
30;6/03/20;29/08/21;ANTIOQUIA;BETULIA;No indica;Analisis situacional;COVID 19;Contagio;Numero;225;108;100;9;8;No indica;No indica;No indica;En el municipio de BETULIA se tiene un total de Contagio 225;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
31;6/03/20;29/08/21;ANTIOQUIA;BOLIVAR;No indica;Analisis situacional;COVID 19;Contagio;Numero;1796;855;750;106;85;No indica;No indica;No indica;En el municipio de BOLIVAR se tiene un total de Contagio 1796;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
32;6/03/20;29/08/21;ANTIOQUIA;BRICENO;No indica;Analisis situacional;COVID 19;Contagio;Numero;145;85;47;11;2;No indica;No indica;No indica;En el municipio de BRICENO se tiene un total de Contagio 145;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
33;6/03/20;29/08/21;ANTIOQUIA;BURITICA;No indica;Analisis situacional;COVID 19;Contagio;Numero;1147;290;835;15;7;No indica;No indica;No indica;En el municipio de BURITICA se tiene un total de Contagio 1147;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
34;6/03/20;29/08/21;ANTIOQUIA;CACERES;No indica;Analisis situacional;COVID 19;Contagio;Numero;789;342;363;35;49;No indica;No indica;No indica;En el municipio de CACERES se tiene un total de Contagio 789;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
35;6/03/20;29/08/21;ANTIOQUIA;CAICEDO;No indica;Analisis situacional;COVID 19;Contagio;Numero;175;85;82;3;5;No indica;No indica;No indica;En el municipio de CAICEDO se tiene un total de Contagio 175;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
36;6/03/20;29/08/21;ANTIOQUIA;CALDAS;No indica;Analisis situacional;COVID 19;Contagio;Numero;14502;7104;6285;581;532;No indica;No indica;No indica;En el municipio de CALDAS se tiene un total de Contagio 14502;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
37;6/03/20;29/08/21;ANTIOQUIA;CAMPAMENTO;No indica;Analisis situacional;COVID 19;Contagio;Numero;123;67;51;1;4;No indica;No indica;No indica;En el municipio de CAMPAMENTO se tiene un total de Contagio 123;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
38;6/03/20;29/08/21;ANTIOQUIA;CARACOLI;No indica;Analisis situacional;COVID 19;Contagio;Numero;108;49;50;4;5;No indica;No indica;No indica;En el municipio de CARACOLI se tiene un total de Contagio 108;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
39;6/03/20;29/08/21;ANTIOQUIA;CARAMANTA;No indica;Analisis situacional;COVID 19;Contagio;Numero;119;52;57;7;3;No indica;No indica;No indica;En el municipio de CARAMANTA se tiene un total de Contagio 119;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
40;6/03/20;29/08/21;ANTIOQUIA;CAREPA;No indica;Analisis situacional;COVID 19;Contagio;Numero;3223;1210;1870;68;75;No indica;No indica;No indica;En el municipio de CAREPA se tiene un total de Contagio 3223;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
41;6/03/20;29/08/21;ANTIOQUIA;CARMEN DE VIBORAL;No indica;Analisis situacional;COVID 19;Contagio;Numero;4717;2379;2013;180;145;No indica;No indica;No indica;En el municipio de CARMEN DE VIBORAL se tiene un total de Contagio 4717;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
42;6/03/20;29/08/21;ANTIOQUIA;CAROLINA;No indica;Analisis situacional;COVID 19;Contagio;Numero;135;63;64;4;4;No indica;No indica;No indica;En el municipio de CAROLINA se tiene un total de Contagio 135;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
43;6/03/20;29/08/21;ANTIOQUIA;CAUCASIA;No indica;Analisis situacional;COVID 19;Contagio;Numero;5592;2750;2401;240;201;No indica;No indica;No indica;En el municipio de CAUCASIA se tiene un total de Contagio 5592;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
44;6/03/20;29/08/21;ANTIOQUIA;CANASGORDAS;No indica;Analisis situacional;COVID 19;Contagio;Numero;434;181;228;13;12;No indica;No indica;No indica;En el municipio de CANASGORDAS se tiene un total de Contagio 434;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
45;6/03/20;29/08/21;ANTIOQUIA;CHIGORODO;No indica;Analisis situacional;COVID 19;Contagio;Numero;3058;1311;1575;89;83;No indica;No indica;No indica;En el municipio de CHIGORODO se tiene un total de Contagio 3058;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
46;6/03/20;29/08/21;ANTIOQUIA;CISNEROS;No indica;Analisis situacional;COVID 19;Contagio;Numero;544;274;257;7;6;No indica;No indica;No indica;En el municipio de CISNEROS se tiene un total de Contagio 544;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
47;6/03/20;29/08/21;ANTIOQUIA;COCORNA;No indica;Analisis situacional;COVID 19;Contagio;Numero;614;325;253;18;18;No indica;No indica;No indica;En el municipio de COCORNA se tiene un total de Contagio 614;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
48;6/03/20;29/08/21;ANTIOQUIA;CONCEPCION;No indica;Analisis situacional;COVID 19;Contagio;Numero;239;89;131;10;9;No indica;No indica;No indica;En el municipio de CONCEPCION se tiene un total de Contagio 239;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
49;6/03/20;29/08/21;ANTIOQUIA;CONCORDIA;No indica;Analisis situacional;COVID 19;Contagio;Numero;272;148;115;6;3;No indica;No indica;No indica;En el municipio de CONCORDIA se tiene un total de Contagio 272;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
50;6/03/20;29/08/21;ANTIOQUIA;COPACABANA;No indica;Analisis situacional;COVID 19;Contagio;Numero;7881;3845;3476;275;285;No indica;No indica;No indica;En el municipio de COPACABANA se tiene un total de Contagio 7881;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
51;6/03/20;29/08/21;ANTIOQUIA;DABEIBA;No indica;Analisis situacional;COVID 19;Contagio;Numero;1204;367;810;18;9;No indica;No indica;No indica;En el municipio de DABEIBA se tiene un total de Contagio 1204;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
52;6/03/20;29/08/21;ANTIOQUIA;DON MATIAS;No indica;Analisis situacional;COVID 19;Contagio;Numero;1404;739;585;35;45;No indica;No indica;No indica;En el municipio de DON MATIAS se tiene un total de Contagio 1404;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
53;6/03/20;29/08/21;ANTIOQUIA;EBEJICO;No indica;Analisis situacional;COVID 19;Contagio;Numero;371;192;168;6;5;No indica;No indica;No indica;En el municipio de EBEJICO se tiene un total de Contagio 371;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
54;6/03/20;29/08/21;ANTIOQUIA;EL BAGRE;No indica;Analisis situacional;COVID 19;Contagio;Numero;2460;1057;1230;83;90;No indica;No indica;No indica;En el municipio de EL BAGRE se tiene un total de Contagio 2460;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
55;6/03/20;29/08/21;ANTIOQUIA;ENTRERRIOS;No indica;Analisis situacional;COVID 19;Contagio;Numero;610;286;288;21;15;No indica;No indica;No indica;En el municipio de ENTRERRIOS se tiene un total de Contagio 610;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
56;6/03/20;29/08/21;ANTIOQUIA;ENVIGADO;No indica;Analisis situacional;COVID 19;Contagio;Numero;29321;14278;13022;1011;1010;No indica;No indica;No indica;En el municipio de ENVIGADO se tiene un total de Contagio 29321;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
57;6/03/20;29/08/21;ANTIOQUIA;FREDONIA;No indica;Analisis situacional;COVID 19;Contagio;Numero;1061;505;490;33;33;No indica;No indica;No indica;En el municipio de FREDONIA se tiene un total de Contagio 1061;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
58;6/03/20;29/08/21;ANTIOQUIA;FRONTINO;No indica;Analisis situacional;COVID 19;Contagio;Numero;489;221;244;16;8;No indica;No indica;No indica;En el municipio de FRONTINO se tiene un total de Contagio 489;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
59;6/03/20;29/08/21;ANTIOQUIA;GIRALDO;No indica;Analisis situacional;COVID 19;Contagio;Numero;305;80;210;9;6;No indica;No indica;No indica;En el municipio de GIRALDO se tiene un total de Contagio 305;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
60;6/03/20;29/08/21;ANTIOQUIA;GIRARDOTA;No indica;Analisis situacional;COVID 19;Contagio;Numero;3928;1900;1678;177;173;No indica;No indica;No indica;En el municipio de GIRARDOTA se tiene un total de Contagio 3928;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
61;6/03/20;29/08/21;ANTIOQUIA;GOMEZ PLATA;No indica;Analisis situacional;COVID 19;Contagio;Numero;231;114;102;8;7;No indica;No indica;No indica;En el municipio de GOMEZ PLATA se tiene un total de Contagio 231;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
62;6/03/20;29/08/21;ANTIOQUIA;GRANADA;No indica;Analisis situacional;COVID 19;Contagio;Numero;233;118;104;7;4;No indica;No indica;No indica;En el municipio de GRANADA se tiene un total de Contagio 233;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
63;6/03/20;29/08/21;ANTIOQUIA;GUADALUPE;No indica;Analisis situacional;COVID 19;Contagio;Numero;110;53;53;2;2;No indica;No indica;No indica;En el municipio de GUADALUPE se tiene un total de Contagio 110;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
64;6/03/20;29/08/21;ANTIOQUIA;GUARNE;No indica;Analisis situacional;COVID 19;Contagio;Numero;5116;2500;2276;162;178;No indica;No indica;No indica;En el municipio de GUARNE se tiene un total de Contagio 5116;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
65;6/03/20;29/08/21;ANTIOQUIA;GUATAPE;No indica;Analisis situacional;COVID 19;Contagio;Numero;488;239;215;17;17;No indica;No indica;No indica;En el municipio de GUATAPE se tiene un total de Contagio 488;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
66;6/03/20;29/08/21;ANTIOQUIA;HELICONIA;No indica;Analisis situacional;COVID 19;Contagio;Numero;197;91;97;7;2;No indica;No indica;No indica;En el municipio de HELICONIA se tiene un total de Contagio 197;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
67;6/03/20;29/08/21;ANTIOQUIA;HISPANIA;No indica;Analisis situacional;COVID 19;Contagio;Numero;217;110;96;7;4;No indica;No indica;No indica;En el municipio de HISPANIA se tiene un total de Contagio 217;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
68;6/03/20;29/08/21;ANTIOQUIA;ITAGUI;No indica;Analisis situacional;COVID 19;Contagio;Numero;48264;23699;20954;1851;1760;No indica;No indica;No indica;En el municipio de ITAGUI se tiene un total de Contagio 48264;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
69;6/03/20;29/08/21;ANTIOQUIA;ITUANGO;No indica;Analisis situacional;COVID 19;Contagio;Numero;1569;243;1305;8;13;No indica;No indica;No indica;En el municipio de ITUANGO se tiene un total de Contagio 1569;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
70;6/03/20;29/08/21;ANTIOQUIA;JARDIN;No indica;Analisis situacional;COVID 19;Contagio;Numero;711;392;272;19;28;No indica;No indica;No indica;En el municipio de JARDIN se tiene un total de Contagio 711;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
71;6/03/20;29/08/21;ANTIOQUIA;JERICO;No indica;Analisis situacional;COVID 19;Contagio;Numero;461;222;216;13;10;No indica;No indica;No indica;En el municipio de JERICO se tiene un total de Contagio 461;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
72;6/03/20;29/08/21;ANTIOQUIA;LA CEJA;No indica;Analisis situacional;COVID 19;Contagio;Numero;6242;3024;2721;223;274;No indica;No indica;No indica;En el municipio de LA CEJA se tiene un total de Contagio 6242;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
73;6/03/20;29/08/21;ANTIOQUIA;LA ESTRELLA;No indica;Analisis situacional;COVID 19;Contagio;Numero;6738;3407;2827;248;256;No indica;No indica;No indica;En el municipio de LA ESTRELLA se tiene un total de Contagio 6738;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
74;6/03/20;29/08/21;ANTIOQUIA;LA PINTADA;No indica;Analisis situacional;COVID 19;Contagio;Numero;498;197;278;12;11;No indica;No indica;No indica;En el municipio de LA PINTADA se tiene un total de Contagio 498;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
75;6/03/20;29/08/21;ANTIOQUIA;LA UNION;No indica;Analisis situacional;COVID 19;Contagio;Numero;1649;866;713;43;27;No indica;No indica;No indica;En el municipio de LA UNION se tiene un total de Contagio 1649;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
76;6/03/20;29/08/21;ANTIOQUIA;LIBORINA;No indica;Analisis situacional;COVID 19;Contagio;Numero;288;148;130;4;6;No indica;No indica;No indica;En el municipio de LIBORINA se tiene un total de Contagio 288;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
77;6/03/20;29/08/21;ANTIOQUIA;MACEO;No indica;Analisis situacional;COVID 19;Contagio;Numero;264;120;129;6;9;No indica;No indica;No indica;En el municipio de MACEO se tiene un total de Contagio 264;https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr;No aplica;
